,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Torbay,90,CA,1561271647,93,47.66,-52.73,48.99,14.99
1,Busselton,41,AU,1561271865,69,-33.64,115.35,63.0,25.93
2,Deputatskiy,0,RU,1561271866,37,69.3,139.9,72.77,19.53
3,Jamestown,0,AU,1561271867,44,-33.21,138.6,51.35,7.0
4,Carnarvon,0,ZA,1561271868,91,-30.97,22.13,39.47,6.04
5,Hobart,75,AU,1561271623,66,-42.88,147.33,50.0,4.7
6,Fortuna,0,ES,1561271869,77,38.18,-1.13,73.0,1.12
7,Vaini,75,IN,1561271870,74,15.34,74.49,82.4,5.82
8,Putyatino,0,RU,1561271871,75,54.16,41.12,75.83,4.72
9,East London,75,ZA,1561271872,55,-33.02,27.91,64.4,19.46
10,Brae,20,GB,1561271873,81,60.4,-1.35,51.8,3.36
11,Saskylakh,55,RU,1561271874,30,71.97,114.09,70.43,7.27
12,Dingle,81,PH,1561271874,65,11.0,122.67,88.25,3.91
13,Punta Arenas,0,CL,1561271875,87,-53.16,-70.91,35.6,10.29
14,Chuy,100,UY,1561271876,92,-33.69,-53.46,65.21,10.13
15,Inhambane,20,MZ,1561271877,94,-23.87,35.38,68.0,1.7
16,Ribeira Grande,75,PT,1561271878,77,38.52,-28.7,62.6,3.36
17,Qaanaaq,100,GL,1561271879,81,77.48,-69.36,30.11,17.98
18,Berlevag,19,NO,1561271880,86,70.86,29.09,41.09,10.6
19,Davila,75,PH,1561271880,75,18.47,120.58,91.4,9.17
20,Shenjiamen,37,CN,1561271881,75,29.96,122.3,72.77,10.92
21,Rikitea,99,PF,1561271882,87,-23.12,-134.97,75.29,21.79
22,Katsuura,75,JP,1561271883,78,33.93,134.5,77.0,6.93
23,Iroquois Falls,75,CA,1561271884,100,48.76,-80.69,46.4,1.59
24,Saurimo,55,AO,1561271884,51,-9.66,20.4,56.57,5.37
25,New Norfolk,75,AU,1561271885,66,-42.78,147.06,50.0,4.7
